Country Name,Year,PM25,PrimarySchoolGross,LifeExpectancy,GDPperCap,ForestArea,EnergyUse,ExportofGnS,RenewableElectricty,WomenParliament,PopulationDensity,LivestockProduction
"Middle East, North Africa, Afghanistan & Pakistan",2000,47.4712130697024,81.6360168457031,64.6508435544894,2220.38439290516,2.10069126026929,1161.07179955093,36.3486505854879,6.27119875697297,,39.1205813574758,100.0
Mexico,2000,30.8563115445805,109.118301391602,70.139,7524.0271380091,35.1764963090614,1541.32297457171,24.2311734681303,19.7951574085329,16.0,50.734613544587,72.87
Marshall Islands,2000,11.920417492921,,61.025,2264.79114897645,52.2222222222222,,28.8235217283402,0.0721604849184587,3.03030303030303,281.7,
Middle income,2000,46.1797634316381,102.324913024902,64.4642476676903,1237.10225471924,30.721283919717,749.719883759471,24.2572561019575,25.1822277193663,12.0905020032996,72.1659336065224,100.0
North Macedonia,2000,38.4097368734453,101.575706481934,70.8,1861.89899780644,37.6543452615022,1316.52551296742,32.9468400859053,17.1780942592864,6.66666666666667,79.6834447502949,84.01
Mali,2000,65.0230304328187,52.9354515075684,50.317,304.652870194271,10.896663634352,,18.3082871605953,27.159564862192,12.2448979591837,9.47335251067457,80.6
Malta,2000,17.5416711633875,106.36759185791,76.3,10348.4858902403,1.09375,1731.67515154798,90.269225240877,0.0,9.23076923076923,1219.021875,132.74
Myanmar,2000,39.5272329221873,101.413139343262,57.415,196.619580625284,53.3526792545215,283.525751035703,,39.325517780383,,69.3007941365486,18.68
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2000,47.4334011154006,,64.0029949173091,1247.47238123443,2.49570628933004,788.158562169186,27.5298440781781,10.4657949530358,,45.9896913197014,100.0
Montenegro,2000,25.7719292711536,,70.349,1627.06511911987,,,36.8149918504193,,,,
Mongolia,2000,21.3981446125931,99.7920989990234,60.43,476.02755082717,9.21774776141672,979.255585329484,53.9967514658612,0.134419551934827,10.5263157894737,1.54338839734181,80.25
Northern Mariana Islands,2000,9.35529923168387,,72.485,,69.4782608695652,,,,,148.6,
Mozambique,2000,20.2554422733172,73.2299194335938,48.213,327.12623979157,52.3767135481574,396.028040920619,11.2856851913847,91.1371599340478,30.0,23.0545703095196,85.1
Mauritania,2000,85.1001098665338,81.9958877563477,59.248,680.911061879778,0.409081206946735,,25.5171157140843,0.0,3.79746835443038,2.53559813718832,72.46
Mauritius,2000,9.31039577146635,,68.2,3981.98343249582,20.6551724137931,851.243682124642,60.2825628484701,29.5691788526434,5.71428571428571,584.666502463054,59.51
Malawi,2000,23.0191141072171,139.182037353516,44.591,224.22415918428,32.6866779804837,,,93.2040184934126,9.32642487046632,120.024840899448,27.21
Malaysia,2000,23.5136706210687,97.4562911987305,70.194,4083.52874483605,59.9341043981129,2102.39212549567,119.809708726968,10.9232690780449,10.3626943005181,69.9066078222493,47.76
